link_id,Acum,Area,Long,h_order,dest,prun_7,prun_6,prun_5,prun_4
485135,0.175421,0.175421,0.456,1,484832,5,9,65,331
422872,3.798547,0.164077,0.355,2,422873,3,3,82,333
387911,0.671343,0.088662,0.326,2,387912,4,7,67,221
454164,213.12427,1.62519,1.272,5,454165,5,13,37,111
469058,0.301278,0.301278,0.583,1,469249,5,9,29,120
453336,1.194785,0.628871,1.298,2,452501,6,8,84,324
379624,3.093288,0.063377,0.263,2,381592,4,20,78,303
430899,0.403443,0.403443,0.805,1,428867,5,6,14,39
364201,0.292015,0.292015,0.657,1,364739,0,0,93,343
467916,1.104867,0.100439,0.294,2,468363,6,10,46,293
409289,0.278023,0.278023,0.548,1,410003,4,7,62,408
423918,2.258515,0.264996,0.62,2,422160,3,16,41,428
411480,3.209003,0.467476,0.873,3,411481,7,12,58,302
458057,0.339385,0.339385,1.044,1,454361,6,10,60,212
439220,0.27712,0.27712,0.709,1,441894,5,9,24,202
414298,5.961198,0.290448,0.096,3,416759,7,12,34,416
415145,6.301816,0.138944,0.425,3,415146,7,12,58,322
455983,2.313323,0.025141,0.131,2,457488,6,10,51,434
407701,0.151676,0.151676,0.425,1,406910,3,3,77,309
454933,12.208583,0.364668,0.715,4,454934,5,13,101,282
476800,0.225749,0.225749,0.587,1,477123,6,10,46,193
415137,0.543058,0.543058,0.945,1,414434,3,3,6,14
445252,1.548396,0.062941,0.325,2,445253,6,8,22,59
399323,0.468085,0.468085,0.788,1,398339,4,7,16,46
387696,0.240664,0.240664,0.487,1,387497,4,7,67,221
395044,87.23045,2.276954,2.012,5,395045,4,17,45,138
394847,0.215167,0.215167,0.457,1,395242,4,7,16,46
490187,0.50096,0.50096,1.074,1,489565,5,9,65,483
446767,3.536771,0.516109,1.044,2,480383,5,9,29,91
432362,71.71107,0.555222,1.006,4,432363,7,14,50,148
448770,0.176164,0.176164,0.782,1,447534,6,21,79,281
440478,0.932035,0.050382,0.096,2,440472,7,14,44,374
431517,2.710549,0.063047,0.294,2,430361,3,4,7,268
369927,6.319891,1.116858,1.782,3,369928,0,0,93,380
414993,1.275636,1.275636,2.166,1,413815,7,12,58,322
433620,1.62584,0.592401,0.939,2,435417,7,14,44,163
406211,4.437528,0.632221,1.077,2,399643,4,11,27,70
433619,1.083898,0.277292,0.751,2,433320,7,14,44,295
473040,0.112926,0.112926,0.619,1,472377,6,10,35,106
462908,0.452225,0.452225,0.781,1,463275,5,13,43,371
366624,0.20309,0.20309,0.457,1,366086,0,0,94,250
443983,6.255974,0.327358,0.913,3,443984,3,4,52,340
459619,3.958069,0.037701,0.162,3,459620,5,13,43,321
444264,0.339929,0.339929,0.871,1,441930,6,21,90,356
434451,2224.3176,0.404623,0.72,7,434452,3,3,6,15
401353,0.21502,0.21502,0.588,1,398516,4,7,19,223
445396,7.830436,0.264427,0.425,3,445397,3,4,52,291
379968,0.316939,0.316939,0.845,1,379359,0,0,0,122
414678,36.572395,0.189556,0.259,4,414679,4,15,54,192
471852,0.916118,0.075296,0.131,2,471853,6,10,46,431
418940,0.555472,0.063118,0.488,2,418939,3,16,69,396
416964,0.239909,0.239909,0.457,1,417411,7,18,76,312
438284,0.970068,0.970068,1.47,1,438612,5,13,36,99
413219,0.429511,0.429511,1.101,1,413366,7,12,58,422
405684,2.503148,0.025285,0.163,3,405685,7,12,58,411
454129,136.57266,0.188705,0.488,5,454130,5,13,37,125
440322,0.541613,0.541613,0.776,1,439025,6,8,17,48
434449,2221.8418,0.088663,0.192,7,434450,3,3,6,15
459338,0.201077,0.201077,0.715,1,480352,5,9,29,104
425454,0.189224,0.189224,0.457,1,426480,3,4,9,28
392843,9.797642,0.227875,0.289,4,392844,4,19,102,337
461702,1.168415,0.577914,0.966,2,461703,5,9,29,300
477126,0.376246,0.376246,0.934,1,483560,6,10,35,110
439525,0.289714,0.289714,0.48,1,439523,3,4,63,454
396162,1.088334,0.101244,0.422,2,396163,4,17,73,395
433606,0.844429,0.063019,0.163,2,433607,5,9,29,80
446339,10.485588,0.012592,0.163,3,449667,3,4,57,338
402043,0.316189,0.316189,1.27,1,399659,4,7,19,56
479987,5.616658,0.275873,0.456,2,479988,6,10,35,110
404523,0.581626,0.581626,0.874,1,404677,7,12,58,411
426488,0.239673,0.239673,0.425,1,427507,3,4,7,268
411869,0.593815,0.214777,0.425,2,411870,3,3,6,297
425286,0.668643,0.668643,1.137,1,424164,3,4,7,246
480412,434.9175,0.945953,1.263,5,480413,5,9,28,76
433175,4.764971,0.239561,0.384,2,430356,3,4,63,370
382222,6.793848,0.456228,0.983,3,382223,4,5,72,265
421734,0.555301,0.555301,1.013,1,422164,3,16,41,428
420378,10.590805,0.138818,0.394,3,420379,5,9,85,267
436381,2.003337,0.12601,0.394,2,436382,5,6,14,289
365936,18.761425,0.342697,0.519,4,367353,0,0,95,251
467797,1.217989,1.217989,2.2,1,466487,6,10,51,241
451507,0.415115,0.415115,0.967,1,451059,6,10,25,64
394338,1.848114,0.202516,0.394,2,394339,4,7,19,248
393071,1.316385,0.050635,0.163,2,393072,2,2,2,2
488039,5.222832,0.062633,0.162,3,488040,6,10,81,359
410005,5.244418,0.290719,0.588,3,410006,4,7,62,408
404327,0.73331,0.088507,0.263,2,404328,4,11,33,275
439045,29.452785,0.100826,0.259,4,439046,3,4,63,191
417699,0.315632,0.315632,0.978,1,417873,7,18,76,204
408832,0.341236,0.341236,0.879,1,399615,4,11,27,78
436091,0.252005,0.252005,0.421,1,449679,3,4,57,162
441742,0.13853,0.13853,0.425,1,442079,5,13,37,114
408698,3.286018,0.290678,0.548,2,408699,3,3,5,365
433324,13.19731,0.289888,0.584,3,435413,7,14,44,295
444521,1.422542,0.579126,1.04,2,443669,5,9,29,492
441141,0.163731,0.163731,0.457,1,440832,3,4,63,454
396688,1.809581,0.759252,1.26,2,395399,4,11,92,311
398964,2.353314,0.113855,0.294,2,398965,4,11,33,96
405005,0.164357,0.164357,0.748,1,414685,4,15,54,154
444401,0.440638,0.440638,0.909,1,445584,5,13,37,114
414670,0.290491,0.290491,1.132,1,414277,4,15,54,376
392475,0.341825,0.341825,0.457,1,393059,4,7,19,248
435176,0.151219,0.151219,0.457,1,435759,6,8,83,417
416774,300.39893,0.391785,0.657,6,416775,7,12,34,92
422168,0.189293,0.189293,0.457,1,421574,3,3,82,333
399947,1.631858,0.468076,0.975,2,434487,2,2,3,5
443174,0.138507,0.138507,0.457,1,442714,3,4,52,266
412152,0.656954,0.656954,0.879,1,416748,4,11,33,194
423291,6.284749,0.201884,0.294,3,423292,5,6,14,308
417678,4.734171,0.391284,0.62,2,417679,5,9,24,292
417701,0.126256,0.126256,0.425,1,417869,7,18,76,204
433170,0.756285,0.226892,0.421,2,433171,3,4,63,370
398981,2.163412,0.518777,0.914,2,399672,4,7,18,49
435187,1.260129,0.516682,0.782,2,434746,7,14,50,323
402889,0.265559,0.265559,0.72,1,403775,3,3,77,386
440979,0.768272,0.214115,0.876,2,449672,3,4,57,186
437639,0.881878,0.012598,0.096,2,437640,5,9,29,85
