link_id,Acum,Area,Long,h_order,dest,prun_7,prun_6,prun_5,prun_4
320513,0.3826,0.3826,0.589,1,322790,2,3,17,62
306689,0.383122,0.383122,0.884,1,305684,2,3,17,44
312440,0.28079,0.28079,0.848,1,311001,3,5,25,98
314667,3.330318,0.854899,0.848,3,314668,2,8,18,118
311907,2.973932,0.012764,0.097,2,311899,3,5,12,91
295250,29.533094,0.140692,0.358,4,295251,3,9,28,57
319660,4.055316,0.102036,0.163,3,319661,3,5,31,66
286368,18.946207,0.281401,0.292,3,286369,3,9,27,68
305323,1.775308,0.574773,0.719,2,304036,2,8,30,133
332923,0.394856,0.394856,1.142,1,331646,2,6,29,96
303731,0.140518,0.140518,0.654,1,302931,3,5,16,92
297353,0.166181,0.166181,0.522,1,297355,3,4,8,76
300344,0.370605,0.370605,0.622,1,299615,3,9,28,113
303304,0.357697,0.357697,0.521,1,311021,2,8,18,48
348658,1.259023,0.737631,1.79,2,348659,2,7,24,87
313444,1.225112,0.191407,0.715,2,313445,3,5,25,64
313502,810.8892,0.230457,0.459,6,313503,2,2,2,4
291190,0.81864,0.81864,1.009,1,291500,3,4,8,73
295749,0.191779,0.191779,0.458,1,302066,2,8,30,60
346502,0.445187,0.445187,0.426,1,345962,2,7,24,87
333978,1.349851,0.292923,0.684,2,333796,2,7,14,94
319672,28.065311,0.434055,0.654,3,309738,3,5,31,66
317806,0.395432,0.395432,1.243,1,320186,2,6,22,71
329256,0.254841,0.254841,0.49,1,328806,2,3,17,80
300935,0.166121,0.166121,0.654,1,301220,3,5,9,21
311002,9.753012,0.599939,0.486,3,311003,3,5,25,98
332725,3.375445,0.522306,0.781,2,335544,2,7,14,40
284694,0.473584,0.473584,1.044,1,313502,2,2,2,4
305183,2.618452,0.319316,0.716,2,305508,3,5,34,130
346340,9.577186,0.57253,0.884,4,346341,2,7,35,72
328410,3.975329,0.165664,0.26,3,328411,2,6,11,125
290985,0.306996,0.306996,0.553,1,313489,2,3,5,7
318941,0.599533,0.599533,0.715,1,319342,3,5,25,122
304360,0.395958,0.395958,1.109,1,308081,2,3,7,83
277746,0.102471,0.102471,0.491,1,277949,3,4,33,69
344618,25.359186,0.394838,0.557,4,344619,2,6,26,54
